pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded
20201CP33,19.0,9.0,5,,ty69513,CP33,2020,,,,446525.33,208860.71,True
20201CP34,17.0,9.0,9,,ty69501,CP34,2020,,,,446663.33,208847.71,True
20201CP35,28.0,6.0,6,,ty69574,CP35,2020,,,,446634.33,208808.71,True
20201CP43,18.0,7.0,0,,,CP43,2020,,,,446948.72,208462.76,True
20201CP6,25.0,10.0,6,vz31926,vz30566,CP6,2020,True,EX68,5.0,446499.33,209263.71,True
20201CP7,21.0,2.0,0,,,CP7,2020,,,,446544.33,209240.71,True
20201CP9,19.0,7.0,7,vz29416,tx42383,CP9,2020,True,W80,6.0,446486.33,209112.71,True
20201EX120,15.0,9.0,9,ty68003,vz29516,EX120,2020,False,,6.0,445349.71,208927.24,True
20201EX14,16.0,8.0,7,tw41893,vz30878,EX14,2020,False,,5.0,445451.33,208853.71,True
20201EX18,20.0,6.0,6,,tw41900,EX18,2020,,,,445710.33,209023.71,True
20201EX21,15.0,9.0,7,,,EX21,2020,,,,445992.33,209122.71,True
20201EX25,17.0,8.0,6,tw41850,vz31314,EX25,2020,False,,5.0,446123.33,208965.71,True
20201EX26,17.0,10.0,10,tw41874,vz29229,EX26,2020,False,,5.0,446155.33,208949.71,True
20201EX29,22.0,8.0,4,,y839893,EX29,2020,,,,446108.33,208834.71,True
20201EX3,17.0,8.0,7,vz31212,vz29502,EX3,2020,True,C63,5.0,445602.33,208356.71,True
20201EX34,18.0,10.0,9,ty69033,vz29522,EX34,2020,False,,6.0,445711.33,208853.71,True
20201EX35,17.0,8.0,8,,tw77003,EX35,2020,,,,445687.33,208804.71,True
20201EX38A,18.0,8.0,8,,ty69002,EX38A,2020,,,,445669.33,208666.71,True
20201EX41E,21.0,8.0,0,,,EX41E,2020,,,,445777.33,208408.71,False
20201EX43,22.0,8.0,8,,ty69075,EX43,2020,,,,445912.33,208625.71,True
20201EX43D,25.0,7.0,0,,,EX43D,2020,,,,446085.33,208625.71,True
20201EX48A,22.0,6.0,6,tp27216,vz30879,EX48A,2020,True,EX41D,6.0,446179.33,208737.71,True
20201EX49A,25.0,6.0,5,,tw41549,EX49A,2020,,,,446155.33,208632.71,True
20201EX5,15.0,7.0,0,,,EX5,2020,,,,445483.33,208370.71,True
20201EX51,18.0,8.0,8,tw41873,vs83950,EX51,2020,False,,6.0,446397.33,208674.71,True
20201EX55,20.0,5.0,0,,,EX55,2020,,,,446634.33,208663.71,False
20201EX56,25.0,7.0,7,vz33544,vz32694,EX56,2020,False,,6.0,446552.33,208643.71,True
20201EX59,16.0,7.0,7,,vz32698,EX59,2020,,,,446392.33,208565.71,True
20201EX62,21.0,6.0,0,,,EX62,2020,,,,446299.33,208425.71,True
20201EX62A,21.0,10.0,9,ty69097,ty69065,EX62A,2020,False,,5.0,446322.33,208376.71,True
20201EX62B,27.0,9.0,0,,,EX62B,2020,,,,446330.33,208317.71,True
20201EX62D,26.0,4.0,0,,,EX62D,2020,,,,446300.77,208230.55,True
20201EX62G,20.0,10.0,8,ty69066,vz31891,EX62G,2020,False,,5.0,446411.61,208050.73,True
20201EX64,22.0,9.0,9,vz30485,ty69052,EX64,2020,True,EX32,6.0,446184.33,208449.71,True
20201EX65,29.0,8.0,0,,ty69098,EX65,2020,,,,446127.33,208492.71,True
20201EX69,33.0,9.0,0,vz31039,,EX69,2020,True,EX75A,,445899.33,208257.71,True
20201EX72A,51.0,4.0,0,,,EX72A,2020,,,,445912.33,208188.71,False
20201EX74,22.0,9.0,0,,,EX74,2020,,,,445909.33,208141.71,True
20201EX75,15.0,6.0,0,,,EX75,2020,,,,445916.33,208096.71,True
20201EX76,19.0,8.0,8,,ts46392,EX76,2020,,,,445899.33,207993.71,True
20201EX78,25.0,10.0,0,ty69096,,EX78,2020,False,,5.0,446079.33,207964.71,True
20201EX84,,,0,,,EX84,2020,,,,446086.33,207856.71,False
20201EX9,15.0,9.0,7,,ty69001,EX9,2020,,,,445503.33,208584.71,True
20201EX91,29.0,7.0,7,z032661,tl38577,EX91,2020,False,,6.0,445759.33,207904.71,True
20201HE1,24.0,7.0,5,vz31222,tp27186,HE1,2020,True,C157,5.0,446508.21,206511.4,False
20201MP12,19.0,7.0,0,,,MP12,2020,,,,448089.72,207730.76,True
20201MP2,23.0,6.0,0,tr42598,vz30572,MP2,2020,False,,5.0,447995.72,207860.76,True
20201MP20,19.0,6.0,5,,vz30800,MP20,2020,,,,448277.72,207566.76,True
20201MP25,,,0,,ts47926,MP25,2020,,,,448397.72,207421.76,True
20201MP29,15.0,10.0,10,tv44566,vz33786,MP29,2020,True,SW129,6.0,448377.72,207353.76,True
20201MP34,15.0,7.0,6,ty70022,ty70024,MP34,2020,False,,6.0,448488.72,207295.76,True
20201MP37,17.0,8.0,8,ts47913,tw41801,MP37,2020,True,MP20,5.0,448396.72,207260.76,True
