pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201C11,46.0,6.0,0,,,C11,2020,,,,446215.33,206611.71,False,,,,,,,,,,
20201C110,14.0,8.0,0,,,C110,2020,,,,446166.33,206677.71,True,,,,,,,,,,
20201C113,15.0,9.0,0,,,C113,2020,,,,446283.33,206575.71,True,,,,,,,,,,
20201C126,18.0,3.0,0,,,C126,2020,,,,446377.72,206815.76,True,,,,,,,,,,
20201C131,15.0,9.0,9,tw41847,tw41838,C131,2020,False,,5.0,446369.72,206673.76,True,,,,,,,,,0.6,423.1
20201C136,16.0,10.0,8,vz33158,te80994,C136,2020,False,,6.0,446430.72,206941.76,True,,,,,,,,,0.6,663.4
20201C140,17.0,8.0,7,vz31218,ty68505,C140,2020,True,C15,5.0,446457.72,206999.76,True,,,,,,,,411.8,0.6,718.2
20201C143,27.0,8.0,3,,tx42423,C143,2020,,,,446550.72,206989.76,True,1.0,,0.35742676495726494,0.0,35.0,356.731,0.37542166666666665,,,
20201C149,27.0,7.0,0,,,C149,2020,,,,446631.33,206833.71,True,,,,,,,,,,
20201C158,17.0,8.0,7,vz32749,vz32729,C158,2020,True,C131,5.0,446440.72,207019.76,True,,,,,,,,353.2,0.6,732.8
20201C20,14.0,10.0,10,ty68503,te80998,C20,2020,False,,5.0,446430.72,206728.76,True,1.0,,0.38511729487179486,4.0,35.0,374.508,0.4074520833333334,,0.6,423.1
20201C25,15.0,10.0,8,,vz32566,C25,2020,,,,446429.98,206878.41,True,2.0,0.57508,0.3628989643874644,6.0,44.0,333.373,0.37192349999999996,,,
20201C31,,,0,,,C31,2020,,,,446370.72,206657.76,True,3.0,0.3421633333333333,0.3817683888888889,4.0,53.0,422.59,0.37860858333333336,,,
20201C32,18.0,3.0,0,,,C32,2020,,,,446322.72,206657.76,True,,,,,,,,,,
20201C39,23.0,4.0,0,,,C39,2020,,,,446491.72,206960.76,True,,,,,,,,,,
20201C47,12.0,9.0,5,tw41667,tl39678,C47,2020,False,,4.0,446632.72,206921.76,True,6.0,0.367176,0.3311646970560304,14.0,80.0,379.796,0.3510800972222222,,0.4,618.2
20201C51,16.0,7.0,4,tw41842,ty68504,C51,2020,False,,5.0,446497.72,206774.76,True,2.0,0.34733,0.3864263027065527,2.0,44.0,364.517,0.3807564166666667,,0.6,423.1
20201C53,43.0,7.0,0,,,C53,2020,,,,446554.72,206813.76,False,,,,,,,,,,
20201C54,16.0,5.0,0,,,C54,2020,,,,446580.33,206812.71,True,,,,,,,,,,
20201C6,14.0,8.0,7,,ty68502,C6,2020,,,,446262.72,206721.76,True,,,,,,,,,,
20201C61A,17.0,7.0,6,,ty68506,C61A,2020,,,,446303.33,206992.71,True,,,,,,,,,,
20201C62,22.0,8.0,8,,vz33149,C62,2020,,,,446256.33,206910.71,True,2.0,0.57469,0.3559879622507122,4.0,44.0,373.26800000000003,0.35478766666666667,,,
20201C9A,13.0,8.0,0,,ty68501,C9A,2020,,,,446141.33,206711.71,True,1.0,,0.33562582051282047,0.0,33.0,476.907,0.34045983333333335,,,
20201CP11,19.0,8.0,0,,,CP11,2020,,,,446392.33,209100.71,True,1.0,,0.3729519102564103,4.0,43.0,209.618,0.3486116166666667,,,
20201CP119,12.0,7.0,0,,,CP119,2020,,,,446667.33,209113.71,True,4.0,0.30556333333333335,0.36044111396011397,8.0,69.0,359.976,0.3600948,,,
20201CP12,18.0,8.0,7,,vz33512,CP12,2020,,,,446356.33,209083.71,True,2.0,0.45991,0.3601934074074074,2.0,49.0,208.663,0.3676365333333333,,,
20201CP15,27.0,6.0,6,tw41607,vz31676,CP15,2020,True,EX80,5.0,446368.33,209033.71,True,,,,,,,,920.2,0.6,741.8
20201CP17,26.0,4.0,0,,,CP17,2020,,,,446523.33,209028.71,False,,,,,,,,,,
20201CP2,18.0,10.0,9,ty69502,vz33953,CP2,2020,False,,6.0,446331.33,209279.71,True,2.0,0.35866,0.37081107122507123,4.0,53.0,218.825,0.393621175,,0.5,755.2
20201CP22,18.0,10.0,6,,tw41875,CP22,2020,,,,446462.33,208873.71,True,1.0,,0.3770467948717949,2.0,39.0,337.617,0.39922225,,,
