pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201O80,19.0,8.0,7,,tw41868,O80,2020,,,,445811.33,207436.71,True,,,,,,,,,,
20201O81,14.0,17.0,0,,,O81,2020,,,,445780.33,207502.71,True,2.0,0.44165,0.3821548810541311,6.0,41.0,198.346,0.4228799416666667,,,
20201O82,37.0,9.0,0,,tr43254,O82,2020,,,,445805.33,207580.71,True,1.0,,0.37793130199430197,6.0,33.0,177.315,0.42658813333333334,,,
20201O86,23.0,8.0,7,tv44375,tw41860,O86,2020,True,SW122,6.0,445584.33,207655.71,True,,,,,,,,452.1,0.6,401.4
20201O93,18.0,10.0,6,tw41897,tw77013,O93,2020,False,,5.0,445912.33,207645.71,True,3.0,0.5578,0.395219081671415,4.0,51.0,197.08700000000002,0.3999838,,0.6,1086.7
20201O95,17.0,8.0,7,vz32585,tv44468,O95,2020,True,MP75,6.0,445955.33,207585.71,True,1.0,,0.4103560413105413,2.0,30.0,219.92,0.44564076666666663,2476.9,0.7,623.3
20201P14,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,5.0,447153.33,207568.71,True,2.0,0.31476,0.3755233511396011,6.0,39.0,253.31599999999997,0.41423337499999996,250.9,0.4,587.2
20201P17,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,6.0,447006.33,207611.71,True,2.0,0.24395,0.34823710042735045,2.0,41.0,324.617,0.357721125,,0.19999999999999996,573.3
20201P19,33.0,2.0,0,,,P19,2020,,,,446914.33,207609.71,True,,,,,,,,,,
20201P2,18.0,7.0,7,,vz30892,P2,2020,,,,447207.33,207495.71,True,1.0,,0.35542184472934474,2.0,30.0,231.496,0.35949983333333335,,,
20201P22,30.0,6.0,0,,tw77187,P22,2020,,,,446823.33,207539.71,True,,,,,,,,,,
20201P5,18.0,7.0,5,ts47653,tv44297,P5,2020,True,SW44,,447227.33,207656.71,False,,,,,,,,574.8,0.5,500.1
20201P6,20.0,7.0,0,,,P6,2020,,,,447223.33,207763.71,True,,,,,,,,,,
20201P7,18.0,9.0,0,,vs84191,P7,2020,,,,447254.33,207742.71,True,2.0,0.26165,0.36025193803418804,0.0,38.0,315.813,0.37017195833333333,,,
20201SW1,22.0,7.0,6,ty69095,ty69085,SW1,2020,False,,5.0,446202.33,207910.71,True,2.0,0.34419,0.3453331495726496,0.0,39.0,305.005,0.3039805,,0.7,1505.1
20201SW103,21.0,9.0,0,ty68556,vz32753,SW103,2020,False,,5.0,446179.33,207147.71,True,,,,,,,,,0.4,629.7
20201SW105,25.0,7.0,0,,,SW105,2020,,,,446199.33,207046.71,True,,,,,,,,,,
20201SW112,16.0,8.0,0,,ty68507,SW112,2020,,,,445938.33,207159.71,True,,,,,,,,,,
20201SW116,14.0,10.0,0,,vz32708,SW116,2020,,,,446054.33,207257.71,True,,,,,,,,,,
20201SW119,13.0,8.0,0,,tw41854,SW119,2020,,,,446065.33,207348.71,True,,,,,,,,,,
20201SW127,26.0,7.0,0,,te80999,SW127,2020,,,,446100.33,207536.71,True,,,,,,,,,,
20201SW128,20.0,8.0,8,tw41650,tw77016,SW128,2020,False,,5.0,446154.33,207555.71,True,,,,,,,,,0.5,1200.8
20201SW131,17.0,8.0,8,tw77001,vs84251,SW131,2020,False,,6.0,446202.33,207594.71,True,2.0,0.33238,0.3604477086894587,2.0,38.0,316.602,0.36625108333333334,,0.6,1171.6
20201SW133,21.0,8.0,5,,vz32782,SW133,2020,,,,446261.33,207581.71,True,,,,,,,,,,
20201SW18,24.0,7.0,0,ts43477,,SW18,2020,False,,6.0,446358.33,207529.71,True,,,,,,,,,0.30000000000000004,1110.0
20201SW2,21.0,9.0,9,,tw77052,SW2,2020,,,,446216.33,207871.71,True,1.0,,0.38353857549857545,2.0,32.0,296.60900000000004,0.3858559166666667,,,
20201SW20,26.0,6.0,0,,,SW20,2020,,,,446401.33,207577.71,True,,,,,,,,,,
20201SW21,21.0,7.0,0,,,SW21,2020,,,,446420.33,207585.71,True,,,,,,,,,,
20201SW22,37.0,6.0,0,,,SW22,2020,,,,446461.33,207594.71,False,,,,,,,,,,
20201SW28,17.0,8.0,8,ts45460,tp27392,SW28,2020,True,SW1,6.0,446452.33,207484.71,True,3.0,0.37160333333333334,0.39782438793922126,4.0,50.0,459.554,0.4013704444444445,493.9,0.4,916.4
20201SW3,16.0,9.0,1,,tw77002,SW3,2020,,,,446241.33,207876.75,True,,,,,,,,,,
20201SW33,21.0,9.0,0,tr43216,ty68607,SW33,2020,True,O29,6.0,446328.33,207280.71,True,,,,,,,,1317.7,0.5,540.4
20201SW35,19.0,8.0,8,vz29148,tj26880,SW35,2020,True,C163,5.0,446381.33,207366.71,True,,,,,,,,630.9,0.4,745.6
20201SW39,26.0,6.0,2,,vz33751,SW39,2020,,,,446571.33,207393.71,True,,,,,,,,,,
20201SW46,27.0,7.0,6,vz30605,ta15788,SW46,2020,True,C133,6.0,446668.33,207455.71,True,4.0,0.395675,0.37560282834757835,6.0,61.0,445.396,0.36210375,812.3,0.30000000000000004,830.5
20201SW49A,22.0,11.0,0,,,SW49A,2020,,,,446674.33,207369.71,True,,,,,,,,,,
20201SW5,17.0,9.0,9,tj26850,vz30447,SW5,2020,True,C1,6.0,446320.98,207891.12,True,3.0,0.34052,0.3333888955365622,6.0,50.0,355.519,0.36513366666666663,953.6,0.7,1351.9
20201SW59,16.0,9.0,9,vz32978,vs84050,SW59,2020,True,B145,6.0,446847.33,207337.71,True,,,,,,,,699.0,0.30000000000000004,621.5
20201SW70,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,5.0,447032.33,207397.71,True,1.0,,0.3583157592592593,2.0,32.0,300.62399999999997,0.34208666666666665,1115.6,0.30000000000000004,495.8
20201SW73,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,5.0,447094.33,207298.71,True,1.0,,0.44845294586894585,0.0,33.0,325.505,0.4514465,471.9,0.5,690.5
20201SW76,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,5.0,447158.33,207352.75,True,2.0,0.31767,0.3273212998575498,0.0,39.0,275.781,0.32570941666666664,,0.4,565.1
20201SW82,20.0,8.0,8,,tw77050,SW82,2020,,,,447327.33,207376.71,True,,,,,,,,,,
20201SW86,18.0,9.0,7,vz30538,tr43323,SW86,2020,False,,6.0,447401.33,207319.71,True,,,,,,,,,0.4,507.1
20201SW9,22.0,7.0,7,tl38496,ty68555,SW9,2020,True,EX5A,5.0,446338.33,207737.71,True,,,,,,,,1084.8,0.6,1138.8
20201W100,15.0,9.0,9,tl38410,vz33930,W100,2020,True,EX38,5.0,445358.33,209039.71,True,1.0,,0.3602061153846154,0.0,32.0,159.753,0.3480181666666667,464.8,0.7,497.0
20201W103,25.0,6.0,1,,tw41888,W103,2020,,,,445304.33,209032.71,True,2.0,0.26087,0.3497037008547008,0.0,41.0,176.91199999999998,0.34981075,,,
20201W103A,21.0,8.0,0,,,W103A,2020,,,,445294.33,209015.71,True,3.0,0.3605933333333333,0.357394534662868,4.0,50.0,182.393,0.3597098888888889,,,
20201W105,17.0,6.0,4,vs83940,ty68014,W105,2020,False,,6.0,445237.33,208993.71,True,2.0,0.45451,0.39102291524216526,4.0,41.0,229.844,0.37788499999999997,,0.6,489.0
20201W12,17.0,8.0,8,,,W12,2020,,,,446105.33,209157.71,True,5.0,0.37676,0.37264970968660965,2.0,78.0,219.888,0.37986423999999996,,,
20201W18,18.0,8.0,7,,tw41822,W18,2020,,,,446247.33,209436.71,True,4.0,0.36515499999999995,0.3771497962962963,10.0,71.0,289.815,0.37184707083333335,,,
20201W19,20.0,9.0,0,,,W19,2020,,,,446231.33,209497.71,True,,,,,,,,,,
20201W21,20.0,9.0,4,tw41699,ty68010,W21,2020,False,,5.0,446206.33,209539.71,True,,,,,,,,,0.8,733.4
20201W22,19.0,7.0,7,ty68048,ty68011,W22,2020,False,,5.0,446164.33,209458.71,True,,,,,,,,,0.8,733.4
20201W24,16.0,9.0,9,tw41818,tw41884,W24,2020,False,,5.0,446185.33,209410.71,True,,,,,,,,,0.8,733.4
20201W29,15.0,8.0,7,tw41881,vz30524,W29,2020,False,,5.0,446124.33,209221.71,True,5.0,0.32761300000000004,0.36795173019943017,6.0,81.0,215.487,0.37263273,,0.9,330.5
20201W33,17.0,6.0,0,,,W33,2020,,,,446102.33,209511.71,True,,,,,,,,,,
20201W36,17.0,12.0,0,,,W36,2020,,,,446064.33,209374.71,True,,,,,,,,,,
20201W37,18.0,5.0,4,tl38650,,W37,2020,True,EX20,5.0,446046.33,209353.71,True,4.0,0.32380166666666665,0.34479283796296295,6.0,74.0,225.981,0.34779190416666667,330.5,0.9,366.8
20201W5,19.0,10.0,8,ty68185,ty68186,W5,2020,False,,5.0,446195.33,209187.71,True,,,,,,,,,0.6,795.8
20201W50,12.0,10.0,8,,vz30466,W50,2020,,,,445924.33,209323.71,True,,,,,,,,,,
20201W51,15.0,11.0,0,ty68004,tw41830,W51,2020,False,,5.0,445892.33,209413.75,True,,,,,,,,,0.7,391.3
20201W52,20.0,2.0,0,,,W52,2020,,,,445820.33,209385.71,True,,,,,,,,,,
20201W54,20.0,8.0,7,,vz33954,W54,2020,,,,446073.33,209473.71,True,,,,,,,,,,
20201W55,24.0,2.0,0,,,W55,2020,,,,446057.33,209470.71,False,,,,,,,,,,
20201W56,12.0,10.0,10,tw41833,vn56874,W56,2020,False,,5.0,445993.33,209438.71,True,3.0,0.4010066666666667,0.3602285042735043,6.0,66.0,257.88800000000003,0.37441085555555553,,0.8,348.6
20201W6,,,0,,,W6,2020,,,,446183.33,209156.71,True,,,,,,,,,,
20201W62,13.0,10.0,9,vz31814,tr43214,W62,2020,False,,6.0,445726.33,209377.71,True,5.0,0.369805,0.32273625669515665,8.0,76.0,227.541,0.3486413166666667,,0.7,399.6
20201W63,17.0,8.0,6,,tv44366,W63,2020,,,,445695.33,209336.71,True,,,,,,,,,,
20201W64,17.0,8.0,0,,tw41530,W64,2020,,,,445682.33,209306.71,True,3.0,0.5391033333333333,0.39762979154795824,2.0,57.0,204.738,0.38964105555555556,,,
20201W64A,15.0,9.0,0,,,W64A,2020,,,,445637.33,209270.71,True,,,,,,,,,,
20201W68,15.0,10.0,9,tw41831,tw41550,W68,2020,False,,5.0,445861.33,209327.71,True,3.0,0.30190999999999996,0.36301852326685663,6.0,64.0,199.503,0.3783073222222222,,0.7,391.3
20201W71,15.0,6.0,6,vz30247,vz30317,W71,2020,True,W25,6.0,445813.33,209236.71,True,3.0,0.5177466666666667,0.3677066685660019,6.0,62.0,187.43099999999998,0.3834386722222222,366.8,0.7,387.5
20201W74,19.0,9.0,8,,ts47681,W74,2020,,,,445800.33,209211.71,True,1.0,,0.41850816096866095,0.0,40.0,193.219,0.40155358333333335,,,
20201W75,16.0,10.0,10,tr42590,ty68013,W75,2020,False,,5.0,445667.33,209164.71,True,2.0,0.40029,0.38821370726495724,2.0,47.0,196.699,0.3930489833333334,,0.6,415.4
20201W77,16.0,7.0,7,ty68001,ty68002,W77,2020,False,,5.0,445609.33,209153.71,True,3.0,0.3307466666666667,0.36232317331434,2.0,54.0,197.46300000000002,0.3717843111111111,,0.4,466.6
20201W79,15.0,6.0,4,tl38562,tx42457,W79,2020,True,EX30,5.0,445684.33,209242.71,True,,,,,,,,476.7,0.7,395.0
20201W81,19.0,8.0,8,ty68012,vn85374,W81,2020,False,,6.0,445606.33,209304.71,True,,,,,,,,,0.6,415.4
20201W87,18.0,8.0,8,tl38623,tl38985,W87,2020,True,W103,5.0,445546.33,209292.71,True,,,,,,,,355.2,0.6,442.8
20201W92,21.0,6.0,5,tl38696,tw41889,W92,2020,False,,6.0,445495.33,209195.71,True,1.0,,0.34574130056980057,2.0,35.0,213.26799999999997,0.32397736666666666,,0.5,486.5
20201W95,13.0,9.0,9,vz29248,te80782,W95,2020,True,W60,6.0,445509.33,209118.71,True,3.0,0.16024666666666668,0.31693814339981,4.0,51.0,191.842,0.32310916666666667,462.9,0.6,492.4
20201W99A,23.0,7.0,5,vz31898,ty68195,W99A,2020,True,W58,5.0,445385.33,209013.71,True,2.0,0.19798,0.37428323005698005,4.0,41.0,158.682,0.3906514166666667,672.9,0.7,427.6
20202EX5,48.0,6.0,0,,,EX5,2020,,,,445483.33,208370.71,False,,,,,,,,,,
20211B108,22.0,8.0,6,vz33290,vz30775,B108,2021,False,,6.0,447807.72,207495.76,True,8.0,0.4612414285714285,0.36351568694812364,8.0,105.0,183.016,0.40049277083333334,,0.6,403.2
20211B119,30.0,7.0,7,ty69088,ty68281,B119,2021,True,SW2,5.0,447917.72,207770.76,True,3.0,0.3176466666666667,0.349834017844003,6.0,58.0,182.131,0.36335826111111114,1704.4,0.7,383.3
20211B137,19.0,7.0,6,ty70093,tw77193,B137,2021,True,MP76,5.0,447627.72,207477.76,True,,,,,,,,897.7,0.7,238.4
20211B14,30.0,5.0,5,tr43355,tw77053,B14,2021,False,,6.0,447778.72,207683.76,True,2.0,0.34613,0.3885188716887417,0.0,52.0,184.683,0.38914122916666666,,0.6,768.3
20211B144,,,0,,,B144,2021,,,,447505.72,207485.76,True,,,,,,,,,,
20211B161,,,0,,,B161,2021,,,,447430.72,207645.76,True,,,,,,,,,,
20211B162,26.0,7.0,0,,ty68078,B162,2021,,,,447425.72,207600.76,False,,,,,,,,,,
20211B163,19.0,4.0,0,,,B163,2021,,,,447469.72,207578.76,True,2.0,0.40198,0.40335423289183225,2.0,49.0,164.669,0.4060871,,,
20211B174,29.0,5.0,0,,,B174,2021,,,,447714.72,207418.76,True,2.0,0.52294,0.37656110209713023,4.0,50.0,171.283,0.4004732916666667,,,
20211B18,28.0,5.0,5,vz30961,tr43351,B18,2021,False,,6.0,447895.72,207732.76,True,2.0,0.39057,0.3758152290286976,4.0,53.0,188.846,0.3725685083333333,,0.5,620.7
20211B194,30.0,5.0,5,vz33297,vz33699,B194,2021,False,,5.0,447875.72,207960.76,True,1.0,,0.33230212251655633,2.0,41.0,210.731,0.34223756666666666,,0.7,832.6
20211B195,,,0,,,B195,2021,,,,447788.72,207914.76,False,,,,,,,,,,
20211B208,24.0,6.0,6,ty68248,vz33698,B208,2021,False,,5.0,447583.72,207817.76,True,2.0,0.40556,0.35326096026490067,2.0,46.0,200.41400000000002,0.37188091666666667,,0.6,218.5
20211B216,21.0,8.0,5,,ty69127,B216,2021,,,,447663.72,207776.76,True,4.0,0.595905,0.332130328504415,2.0,64.0,188.557,0.3684994583333333,,,
20211B226,15.0,7.0,6,vz33700,,B226,2021,False,,5.0,447840.72,208003.76,True,4.0,0.31970666666666664,0.3625245463576159,12.0,67.0,227.954,0.37887618333333334,,0.8,1068.4
20211B227,18.0,6.0,5,vs84262,ty70025,B227,2021,False,,6.0,447763.72,208100.76,True,5.0,0.35159599999999996,0.36380122770419426,8.0,76.0,306.084,0.37189664333333333,,0.7,795.3
20211B24,34.0,4.0,2,ty68426,ty68280,B24,2021,False,,6.0,447850.72,207818.76,True,,,,,,,,,0.6,685.6
20211B27,20.0,7.0,0,,,B27,2021,,,,447787.72,207749.76,True,,,,,,,,,,
20211B32,15.0,6.0,5,tw77004,vz33287,B32,2021,True,B4,5.0,447671.72,207612.76,True,2.0,0.31147,0.36525225082781454,8.0,51.0,151.98399999999998,0.3938856041666667,222.1,0.6,445.9
20211B35,,,0,,,B35,2021,,,,447668.72,207577.76,True,3.0,0.3055033333333333,0.3522187906548933,14.0,60.0,142.447,0.3833344722222222,,,
20211B36,23.0,8.0,5,ty68250,vz30536,B36,2021,False,,5.0,447687.72,207515.76,True,3.0,0.36616,0.3721839013980868,8.0,59.0,139.13899999999998,0.4115597222222222,,0.6,403.2
20211B39,23.0,7.0,5,vb55885,vz33687,B39,2021,True,B12,6.0,447589.54,207473.85,True,2.0,0.48692,0.38623737886313464,0.0,51.0,151.841,0.37286095416666665,244.0,0.7,456.3
20211B5,22.0,9.0,8,vz33282,vz32629,B5,2021,False,,6.0,447829.72,207426.76,True,3.0,0.5180566666666667,0.3653570158204562,10.0,60.0,211.821,0.4034877777777778,,0.6,403.2
20211B52,27.0,6.0,5,tw77194,ty68258,B52,2021,False,,5.0,447605.72,207641.76,False,,,,,,,,,0.4,336.0
20211B57,23.0,8.0,2,vz33298,tr42599,B57,2021,False,,6.0,447524.72,207609.76,True,2.0,0.30133,0.358486053807947,4.0,46.0,153.936,0.3649146833333333,,0.4,336.0
20211B58,33.0,4.0,0,,,B58,2021,,,,447502.72,207651.76,True,,,,,,,,,,
20211B60,30.0,8.0,3,te80930,,B60,2021,True,B8,6.0,447455.72,207705.76,True,5.0,0.33033999999999997,0.35751990750551876,4.0,77.0,172.43599999999998,0.35376555666666665,392.9,0.5,324.6
20211B62,64.0,5.0,0,,ty69125,B62,2021,,,,447393.72,207609.76,False,,,,,,,,,,
20211B62A,21.0,7.0,0,ty69126,ty69125,B62A,2021,False,,5.0,447393.72,207640.76,True,3.0,0.37055666666666665,0.34593561111111115,2.0,55.0,177.43099999999998,0.37986384444444443,,0.4,336.0
20211B63,29.0,7.0,0,,,B63,2021,,,,447403.72,207584.76,True,,,,,,,,,,
20211B70,24.0,11.0,9,vz33292,vz33285,B70,2021,False,,6.0,447547.72,207358.76,True,,,,,,,,,0.6,403.2
20211B72,28.0,7.0,0,,,B72,2021,,,,447604.72,207421.76,True,3.0,0.37035,0.3721116992273731,8.0,60.0,163.018,0.4015301583333334,,,
20211B76,20.0,7.0,4,tv44238,vz32977,B76,2021,True,B107,6.0,447677.72,207683.76,True,,,,,,,,249.1,0.7,504.2
20211B79,22.0,6.0,5,te80832,ty70197,B79,2021,True,B179,6.0,447443.72,207758.76,True,1.0,,0.3545108509933775,2.0,40.0,193.49200000000002,0.38046045,10.0,0.5,401.2
20211B85,,,0,,,B85,2021,,,,447637.72,207880.76,True,,,,,,,,,,
20211B86,8.0,6.0,0,,,B86,2021,,,,447683.72,207911.8,True,2.0,0.56626,0.39268118625827814,2.0,46.0,224.07399999999998,0.41267054999999997,,,
20211B87,24.0,9.0,4,,vz30547,B87,2021,,,,447722.72,207967.76,False,,,,,,,,,,
20211C1,28.0,6.0,4,,ty68506,C1,2021,,,,446340.33,206937.71,True,1.0,,0.3211720656732892,4.0,37.0,200.717,0.32738275,,,
20211C10,8.0,7.0,0,,,C10,2021,,,,446147.33,206622.71,True,3.0,0.3469499999999999,0.36121256401766005,8.0,50.0,290.63,0.3873675277777778,,,
20211C108,15.0,7.0,0,,ty68508,C108,2021,,,,446255.85,206653.78,True,3.0,0.39099,0.36605479764532745,8.0,50.0,244.353,0.3716883888888889,,,
20211C109,18.0,6.0,6,vz33112,vz32780,C109,2021,True,C9,6.0,446101.33,206667.71,True,1.0,,0.37604050331125827,2.0,32.0,296.067,0.4313584166666667,24.7,0.6,381.7
20211C112,,,0,,,C112,2021,,,,446254.33,206596.71,False,,,,,,,,,,
20211C117,18.0,6.0,0,,,C117,2021,,,,446435.72,206593.76,True,,,,,,,,,,
20211C12,8.0,9.0,0,te80791,,C12,2021,True,C61A,6.0,446248.33,206605.71,True,1.0,,0.3431490242825607,2.0,32.0,274.575,0.39028066666666666,390.9,0.5,436.8
20211C126,19.0,6.0,0,,ty68300,C126,2021,,,,446377.72,206815.76,True,,,,,,,,,,
20211C128,,,0,,,C128,2021,,,,446410.72,206785.76,False,,,,,,,,,,
20211C131,7.0,10.0,0,tw41847,,C131,2021,False,,6.0,446369.72,206673.76,True,,,,,,,,,0.5,456.4
20211C136,7.0,10.0,3,vz33158,te80994,C136,2021,False,,6.0,446430.72,206941.76,True,4.0,0.27225166666666667,0.3552343970750552,8.0,64.0,222.58200000000002,0.3539010083333333,,0.6,539.9
20211C148,8.0,9.0,5,tw41667,tl39678,C148,2021,False,,6.0,446652.33,206898.75,True,5.0,0.359001,0.34854537814569536,4.0,76.0,367.596,0.35765908333333335,,0.7,491.1
20211C161,32.0,7.0,4,pf71401,pf71399,C161,2021,False,,5.0,446247.33,206870.71,True,,,,,,,,,0.5,310.3
20211C163,,,0,,,C163,2021,,,,446174.33,206770.71,True,,,,,,,,,,
20211C19,18.0,8.0,0,,,C19,2021,,,,446464.72,206681.76,True,,,,,,,,,,
20211C20,16.0,7.0,3,ty68270,ty68292,C20,2021,False,,5.0,446430.72,206728.76,False,,,,,,,,,0.6,564.3
20211C24A,17.0,6.0,6,ty68537,tr43359,C24A,2021,True,C20,5.0,446376.72,206875.76,True,,,,,,,,156.6,0.7,667.6
20211C26,14.0,9.0,0,,,C26,2021,,,,446394.72,206812.76,True,2.0,0.32854,0.3426080753311258,2.0,44.0,212.686,0.33903246666666664,,,
20211C29,17.0,8.0,1,,ty70596,C29,2021,,,,446386.72,206715.76,True,,,,,,,,,,
20211C44,34.0,7.0,6,,pf71394,C44,2021,,,,446583.72,206987.76,False,,,,,,,,,,
20211C49,30.0,5.0,4,tw77191,pf71375,C49,2021,False,,6.0,446609.33,206852.71,False,,,,,,,,,0.7,491.1
20211C51,12.0,9.0,6,ty68296,ty68271,C51,2021,False,,5.0,446497.72,206774.76,True,2.0,0.41282,0.39852245557395144,2.0,44.0,264.783,0.384821375,,0.8,590.1
20211C53,,,0,,,C53,2021,,,,446554.72,206813.76,True,,,,,,,,,,
20211C56,16.0,9.0,7,ty69048,ty68275,C56,2021,True,SW5,5.0,446528.33,206888.71,False,,,,,,,,1023.6,0.7,378.6
20211C58,12.0,9.0,6,pf71400,,C58,2021,False,,6.0,446431.72,206991.76,True,,,,,,,,,0.6,539.9
20211C61A,27.0,8.0,8,ty68543,pf71362,C61A,2021,True,C20,5.0,446303.33,206992.71,True,3.0,0.5258433333333333,0.3804951539735099,4.0,53.0,206.71999999999997,0.40324463888888895,293.1,0.6,526.6
20211C62,19.0,6.0,3,vs84180,tw77111,C62,2021,True,SW25,6.0,446256.33,206910.71,True,1.0,,0.3238528217439293,0.0,31.0,210.054,0.3316195,686.2,0.7,491.1
20211C7,18.0,9.0,0,,,C7,2021,,,,446247.72,206686.76,True,,,,,,,,,,
20211CP1,35.0,6.0,0,,tr43344,CP1,2021,,,,446350.33,209195.71,True,,,,,,,,,,
20211CP10,58.0,5.0,0,,,CP10,2021,,,,446461.33,209131.71,False,,,,,,,,,,
20211CP11,,,0,,,CP11,2021,,,,446392.33,209100.71,True,,,,,,,,,,
20211CP13,17.0,7.0,0,,,CP13,2021,,,,446310.33,209078.71,True,5.0,0.404543,0.3795412226269316,10.0,85.0,218.61700000000002,0.37855344333333335,,,
20211CP15,30.0,5.0,0,,vz31676,CP15,2021,,,,446368.33,209033.71,True,,,,,,,,,,
20211CP18,19.0,6.0,0,,,CP18,2021,,,,446459.33,209073.71,True,4.0,0.36066333333333334,0.35423120226269317,6.0,75.0,251.5,0.3451307125,,,
20211CP20,18.0,8.0,6,,tw41875,CP20,2021,,,,446475.33,208953.71,True,2.0,0.46161,0.3500225482891832,4.0,57.0,264.44899999999996,0.337544275,,,
20211CP28,39.0,4.0,0,,ty68005,CP28,2021,,,,446614.33,209067.71,True,2.0,0.25773,0.34631949172185433,0.0,56.0,323.62399999999997,0.34679478333333336,,,
20211CP3,35.0,8.0,0,vz33690,ty68236,CP3,2021,False,,5.0,446370.33,209284.71,False,,,,,,,,,0.6,775.1
20211CP30,16.0,9.0,8,vz33694,ty69501,CP30,2021,False,,5.0,446639.33,208899.71,True,2.0,0.221,0.3489442607615894,0.0,54.0,327.832,0.35071406666666666,,0.4,584.7
20211CP35,21.0,8.0,8,,,CP35,2021,,,,446634.33,208808.71,True,,,,,,,,,,
20211CP37,22.0,6.0,0,,,CP37,2021,,,,446661.33,208737.71,False,,,,,,,,,,
20211CP38A,19.0,10.0,4,,ty69586,CP38A,2021,,,,446896.72,208471.76,False,,,,,,,,,,
20211CP4,45.0,4.0,0,,,CP4,2021,,,,446433.33,209284.71,False,,,,,,,,,,
20211CP40,18.0,7.0,5,ty68190,pf72102,CP40,2021,True,EX35,5.0,447072.72,208549.76,True,,,,,,,,1408.7,0.7,602.0
20211CP40A,13.0,11.0,5,pf72101,pf72103,CP40A,2021,False,,5.0,447114.72,208507.76,True,3.0,0.40376666666666666,0.3593149242089772,0.0,59.0,716.143,0.3432861611111111,,0.5,644.9
20211CP43,16.0,7.0,5,ty70180,ty69573,CP43,2021,True,B27,5.0,446948.72,208462.76,False,,,,,,,,1101.0,0.6,790.7
20211CP5A,23.0,8.0,7,vz29416,vz33862,CP5A,2021,True,W80,6.0,446402.33,209265.71,True,3.0,0.32849333333333336,0.34650691188373806,6.0,65.0,241.92600000000002,0.35960749999999997,698.0,0.7,800.8
20211CP7,23.0,12.0,0,vz31926,vz30566,CP7,2021,True,EX68,6.0,446544.33,209240.71,False,,,,,,,,1141.0,0.7,653.1
20211CP9,22.0,5.0,0,,,CP9,2021,,,,446486.33,209112.71,True,,,,,,,,,,
20211EX10,22.0,7.0,6,vz33676,ty70766,EX10,2021,False,,5.0,445473.33,208641.71,False,,,,,,,,,0.5,705.8
20211EX120,19.0,8.0,0,,vz29516,EX120,2021,,,,445349.71,208927.24,True,,,,,,,,,,
20211EX12A,23.0,4.0,0,,,EX12A,2021,,,,445480.33,208770.71,True,,,,,,,,,,
20211EX13,22.0,11.0,0,,,EX13,2021,,,,445382.33,208817.71,False,,,,,,,,,,
20211EX13A,19.0,6.0,4,pf72509,,EX13A,2021,False,,5.0,445305.33,208756.71,True,2.0,0.48444,0.3953740794701987,6.0,45.0,359.148,0.40125079166666666,,0.5,745.0
20211EX14,19.0,8.0,7,pf72510,vz30878,EX14,2021,False,,5.0,445451.33,208853.71,True,3.0,0.3169,0.3703618909124356,6.0,58.0,279.358,0.39019088888888886,,0.6,640.3
20211EX18A,11.0,10.0,8,tp27044,ty69007,EX18A,2021,True,CP25,6.0,445761.33,208957.71,True,3.0,0.39605666666666667,0.34855961571008093,6.0,59.0,297.459,0.3591829833333333,743.0,0.4,477.2
20211EX19,19.0,9.0,7,ts44699,vz33658,EX19,2021,True,W41,6.0,445807.33,209073.71,False,,,,,,,,432.9,0.4,500.8
20211EX2,18.0,9.0,7,ty69035,ty70531,EX2,2021,True,EX38A,5.0,445636.33,208384.71,True,,,,,,,,283.9,0.7,877.1
20211EX21,5.0,5.0,0,,ty68010,EX21,2021,,,,445992.33,209122.71,True,,,,,,,,,,
20211EX25,19.0,8.0,8,tw41850,vz31314,EX25,2021,False,,6.0,446123.33,208965.71,True,5.0,0.35573,0.33651851214128037,6.0,84.0,286.223,0.33801116666666664,,0.4,543.1
20211EX38A,17.0,9.0,0,,vz33877,EX38A,2021,,,,445669.33,208666.71,True,2.0,0.42496,0.3650739097682119,2.0,45.0,381.181,0.3592429583333333,,,
20211EX41A,17.0,11.0,5,vz33891,ty69008,EX41A,2021,False,,5.0,445755.33,208462.71,True,2.0,0.46716,0.3523796363134658,4.0,48.0,376.787,0.3845884416666666,,0.6,694.3
20211EX43,20.0,10.0,9,tr43330,ty68084,EX43,2021,False,,5.0,445912.33,208625.71,False,,,,,,,,,0.6,462.1
20211EX43C,31.0,5.0,0,,ty69075,EX43C,2021,,,,445982.36,208540.65,True,,,,,,,,,,
20211EX47,15.0,8.0,7,tp27216,tl38991,EX47,2021,True,EX41D,6.0,446112.33,208725.71,True,1.0,,0.402865809602649,6.0,42.0,314.794,0.4321891333333333,385.7,0.6,470.9
20211EX47A,64.0,7.0,6,tp27216,tl38991,EX47A,2021,True,EX41D,6.0,446150.33,208758.71,False,,,,,,,,435.8,0.6,455.9
